model,seed,fidelity_mean,mmd_mean,wasserstein_mean,runtime_sec_mean
msquddpm,0,0.8166261613368988,0.025678232312202454,0.20241637302100537,74.30578129831702
msquddpm,1,0.7806950062513351,0.025145482271909714,0.2377769583608713,74.49776233150624
msquddpm,2,0.8061815500259399,0.022667981684207916,0.21438909148973107,74.4700994824525
quddpm_baseline,0,0.20963894575834274,0.5017220601439476,0.7357013269677438,95.80128723476082
quddpm_baseline,1,0.18992388620972633,0.4448745995759964,0.7215910361492465,95.78448648424819
quddpm_baseline,2,0.2157747894525528,0.4189317263662815,0.6930435710868698,95.72268949588761
t_msquddpm,0,0.8087365180253983,0.02564094588160515,0.21050238570041355,73.77987250708975
t_msquddpm,1,0.7871431857347488,0.025574099272489548,0.2297804954645537,74.343687644694
t_msquddpm,2,0.7821859270334244,0.0259762704372406,0.23716834004176152,74.2981771316845
