model,seed,qubits,dataset_size,dataset_kind,input_mode,noise_steps,depth,epochs,batch_size,device,fidelity,pure_state_fidelity,mmd,wasserstein,trainable_parameters,estimated_circuit_depth,estimated_two_qubit_gate_count,estimated_single_qubit_rotation_count,runtime_sec,gpu_memory_mb,diffusion_steps,model_family
quddpm_baseline,2,6,512,mixed,density,10,4,400,128,cuda,0.20531907677650452,0.20531907677650452,0.5497664213180542,0.7131714339893954,804368,68,20,48,124.92617008462548,48.3076171875,10,quddpm_baseline
quddpm_baseline,0,6,512,mixed,density,20,2,400,128,cuda,0.19403837621212006,0.19403839111328125,0.3464711010456085,0.6957831194299887,802360,34,10,24,66.26756004430354,46.630859375,20,quddpm_baseline
quddpm_baseline,1,6,512,mixed,density,20,2,400,128,cuda,0.21466399729251862,0.2146640121936798,0.21033433079719543,0.6454854836161993,802360,34,10,24,66.41080951411277,46.630859375,20,quddpm_baseline
quddpm_baseline,2,6,512,mixed,density,20,2,400,128,cuda,0.22533711791038513,0.22533711791038513,0.25958168506622314,0.6497656645619414,802360,34,10,24,66.32203398831189,46.630859375,20,quddpm_baseline
quddpm_baseline,0,6,512,mixed,density,20,4,400,128,cuda,0.22049938142299652,0.22049938142299652,0.6318020820617676,0.7662657629167091,805168,68,20,48,125.3224847111851,48.3193359375,20,quddpm_baseline
quddpm_baseline,1,6,512,mixed,density,20,4,400,128,cuda,0.13270442187786102,0.13270442187786102,0.8116683959960938,0.8665218529059457,805168,68,20,48,124.92574034910649,48.3193359375,20,quddpm_baseline
quddpm_baseline,2,6,512,mixed,density,20,4,400,128,cuda,0.1973193734884262,0.1973193734884262,0.6419142484664917,0.786284339766427,805168,68,20,48,124.97613106761128,48.3193359375,20,quddpm_baseline
t_msquddpm,0,6,512,mixed,density,10,2,400,128,cuda,0.6989020705223083,0.6989020705223083,0.04921668767929077,0.31827529642844965,801264,34,10,24,51.981900247745216,52.59619140625,10,t_msquddpm
t_msquddpm,1,6,512,mixed,density,10,2,400,128,cuda,0.663594663143158,0.6635947227478027,0.045507580041885376,0.34723244826170613,801264,34,10,24,52.12029309757054,52.59619140625,10,t_msquddpm
t_msquddpm,2,6,512,mixed,density,10,2,400,128,cuda,0.7072656154632568,0.7072656154632568,0.040576204657554626,0.31555776665811897,801264,34,10,24,51.97400116734207,52.59619140625,10,t_msquddpm
t_msquddpm,0,6,512,mixed,density,10,4,400,128,cuda,0.9055300951004028,0.9055300951004028,0.007207274436950684,0.11336249756696325,803616,68,20,48,96.82171655539423,52.63134765625,10,t_msquddpm
t_msquddpm,1,6,512,mixed,density,10,4,400,128,cuda,0.9105172753334045,0.9105172753334045,0.00550822913646698,0.11401154068490524,803616,68,20,48,97.24506848491728,52.63134765625,10,t_msquddpm
t_msquddpm,2,6,512,mixed,density,10,4,400,128,cuda,0.8950850367546082,0.8950850367546082,0.0062371790409088135,0.12377572627490172,803616,68,20,48,96.9854250093922,52.63134765625,10,t_msquddpm
t_msquddpm,0,6,512,mixed,density,20,2,400,128,cuda,0.6979233026504517,0.6979233026504517,0.04171530902385712,0.32277944652058077,801264,34,10,24,50.58129679877311,52.59619140625,20,t_msquddpm
t_msquddpm,1,6,512,mixed,density,20,2,400,128,cuda,0.662940263748169,0.662940263748169,0.04594537615776062,0.3454144503641293,801264,34,10,24,51.264727452769876,52.59619140625,20,t_msquddpm
t_msquddpm,2,6,512,mixed,density,20,2,400,128,cuda,0.7065640687942505,0.70656418800354,0.04053857922554016,0.31576188449019227,801264,34,10,24,51.446912105195224,52.59619140625,20,t_msquddpm
t_msquddpm,0,6,512,mixed,density,20,4,400,128,cuda,0.9325906038284302,0.9325906038284302,0.0044245123863220215,0.08759230228566048,803616,68,20,48,95.73457642644644,52.63134765625,20,t_msquddpm
t_msquddpm,1,6,512,mixed,density,20,4,400,128,cuda,0.9115205407142639,0.9115205407142639,0.005335211753845215,0.1124635425474741,803616,68,20,48,96.7446615435183,52.63134765625,20,t_msquddpm
t_msquddpm,2,6,512,mixed,density,20,4,400,128,cuda,0.819828987121582,0.819828987121582,0.0165531188249588,0.19357798274383312,803616,68,20,48,96.7863702448085,52.63134765625,20,t_msquddpm
