model,noise_steps,depth,hidden_dim,fidelity_mean,fidelity_std,reconstruction_fidelity_mean,reconstruction_pure_state_fidelity_mean,reconstruction_mmd_mean,reconstruction_wasserstein_mean,generation_mmd_mean,generation_wasserstein_mean,generation_nearest_fidelity_mean,success_probability_mean,success_probability_std,mmd_mean,mmd_std,wasserstein_mean,wasserstein_std,runtime_sec_mean,trainable_parameters_mean,estimated_two_qubit_gate_count_mean,total_estimated_depth_mean,total_estimated_two_qubit_gate_count_mean,total_reverse_depth_mean,channel_application_count_mean,forward_final_target_noisy_fidelity_mean,target_corruption_fidelity_mean,actual_forward_fidelity_mean,corruption_match_error_abs_mean,generation_prior_mode,generation_sampling_mode,forward_process_type,depolarizing_mode,step_parameterization,effective_denoiser_count,post_selection_required,ancilla_qubits,resource_notes,gpu_memory_mb_max,parameter_ratio_vs_independent_mean,parameter_reduction_percent_vs_independent_mean,quality_drop_vs_independent_mean
cnr,10,2,96,0.4918403625488281,0.06158348959044617,,,,,0.06639844675858815,0.642096479733785,0.4918403625488281,,,0.06639844675858815,0.01831153666058688,0.642096479733785,0.037547119387474785,51.904442984610796,12912.0,10.0,34.0,10.0,0.0,0.0,,,,,latent_gaussian,one_step,cnr_none,none,one_step_cnr,1,False,0,One-step classical-noise reuploading comparator heuristic.,19.73388671875,0.0016113895489307322,99.83886104510692,-0.17915624380111694
independent_step_quddpm,10,2,96,0.17836561053991318,0.04874643963057255,0.17836561053991318,0.17836562544107437,0.7694031596183777,0.8216312925020853,0.7694648305575053,0.821252723534902,0.9041027824083964,,,0.7694031596183777,0.09017362507134186,0.8216312925020853,0.04875835685147726,707.848183051683,8012960.0,10.0,340.0,100.0,340.0,10.0,0.01719073827068011,0.017117907293140888,0.01719073827068011,7.2840911646684e-05,depolarized_random,one_step,depolarizing_single_beta,single_beta,independent,10,False,0,Depolarizing channels are counted separately from explicit unitary-depth heuristics.,174.52490234375,1.0,0.0,0.0
msquddpm,10,2,96,0.17720859497785568,0.04797515228914095,0.17720859497785568,0.17720859001080194,0.7697676221529642,0.8214701612790426,0.7416227658589681,0.814525286356608,0.8798757990201315,,,0.7697676221529642,0.08957415244480413,0.8214701612790426,0.04894758794023853,51.33458323124796,801800.0,10.0,340.0,100.0,340.0,10.0,0.01719073827068011,0.017117907293140888,0.01719073827068011,7.2840911646684e-05,depolarized_random,one_step,depolarizing_single_beta,single_beta,shared_time_conditioned,1,False,0,Depolarizing channels are counted separately from explicit unitary-depth heuristics.,51.6005859375,0.10006289810506978,89.99371018949303,0.0011570155620574951
quddpm_baseline,10,2,96,0.2143749346335729,0.03089628170697406,0.2143749346335729,0.21437492966651917,0.2517540752887726,0.6125873525937399,0.8850334684054056,0.8648908336957296,0.6631359755992889,,,0.2517540752887726,0.019916716190751613,0.6125873525937399,0.00610024390404016,66.06071636887889,801800.0,10.0,680.0,200.0,340.0,0.0,0.017096476008494694,0.017117907293140888,0.017117907293140888,0.0,depolarized_random,one_step,random_unitary,none,shared_time_conditioned,1,False,0,Random-unitary forward and reverse denoiser costs are both counted.,45.619140625,0.10006289810506978,89.99371018949303,-0.03600932409365973
t_msquddpm,10,2,96,0.16533125191926956,0.044062717802421006,0.16533125191926956,0.16533126185337702,0.780549148718516,0.8314444224039713,0.5768915017445883,0.8096056381861368,0.6452285846074423,,,0.780549148718516,0.09723877432456993,0.8314444224039713,0.04674629906481946,51.58153941730658,801264.0,10.0,340.0,100.0,340.0,10.0,0.01719073827068011,0.017117907293140888,0.01719073827068011,7.2840911646684e-05,depolarized_random,one_step,depolarizing_single_beta,single_beta,shared_time_conditioned,1,False,0,Depolarizing channels are counted separately from explicit unitary-depth heuristics.,51.5927734375,0.09999600646951938,90.00039935304807,0.013034358620643616
